Sans Calibration
1. 99.685
2. 54.907
3. 51.564
4. 73.269
5. 61.596
6. 85.030
7. 68.552
8. 74.702
9. 62.124
10. 80.029

750 ms
1. 29.683
2. 41.386
3. 36.349
4. 71.567
5. 79.814
6. 72.044
7. 61.960
8. 34.092
9. 41.852
10. 74.354

2000 ms
1. 39.928
2. 45.417
3. 47.068
4. 55.699
5. 48.435
6. 57.336
7. 72.402
8. 71.529
9. 74.5
10. 60.5
